pce_max,FA,MA,Cs,Rb,Pb,Sn,I,Br,Cl,effective_area,anneal_T1,anneal_t1,anneal_T2,anneal_t2,encapsulation,ISOS-test_type,Temperature,RH,Sun,thickness,stable,deposit_type_Encoded,deposit_step_Encoded,anti_solution_Encoded,anti_add_Encoded,precursor_solution_Encoded,precursor_add_Encoded,structure_Encoded,substrate_Encoded,electrode_Encoded,ETL_Encoded,ETL-2_Encoded,ETL_add_Encoded,HTL_Encoded,HTL-2_Encoded,HTL_add_Encoded,up_passive_Encoded,down_passive_Encoded,anneal_atmosphere_Encoded,Is_FAMACs,Is_FACs,double_element,Is_FA,single_element,Is_FAMA,Is_Cs,Is_MA,tf,miu
0.269,0.85,0.1,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.049,120,10.0,0,0,1,7.0,85.0,0.0,0.0,5,1.0,5,1,4,32,6,83,0,0,0,3,13,38,30,15,37,6,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701362606543166,0.5409090909090909
0.269,0.85,0.1,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.049,120,10.0,0,0,1,12.0,65.0,50.0,100.0,5,1.0,5,1,4,32,6,83,0,0,0,3,13,38,30,15,37,6,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701362606543166,0.5409090909090909
0.2669,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.057,100,30.0,0,0,1,9.0,85.0,85.0,0.0,6,1.0,5,1,7,32,6,78,0,2,5,6,2,38,38,7,37,116,68,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2669,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.057,100,30.0,0,0,1,11.0,65.0,30.0,100.0,6,1.0,5,1,7,32,6,78,0,2,5,6,2,38,38,7,37,116,68,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2652,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.127,150,15.0,100,15,0,2.0,25.0,15.0,0.0,7,0.0,5,1,0,32,6,78,1,0,3,19,26,38,56,15,14,163,11,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2652,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.127,150,15.0,100,15,0,4.0,25.0,0.0,100.0,7,1.0,5,1,0,32,6,78,1,0,3,19,26,38,56,15,14,163,11,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2652,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.07461,150,15.0,0,0,0,10.0,50.0,0.0,100.0,7,0.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,19,174,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.2641,0.94,0.0,0.06,0.0,1.0,0.0,3.0,0.0,0.0,0.049,150,20.0,0,0,0,2.0,25.0,30.0,0.0,5,1.0,2,1,7,32,6,48,1,2,3,11,27,38,56,15,14,167,68,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9758515334003773,0.5409090909090909
0.264,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.1,150,15.0,0,0,0,7.0,85.0,0.0,0.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,2,34,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.264,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.1,150,15.0,0,0,0,2.0,25.0,40.0,0.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,2,34,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.264,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.1,150,15.0,0,0,0,2.0,25.0,20.0,0.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,2,34,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.264,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.1,150,15.0,0,0,0,7.0,65.0,0.0,0.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,2,34,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.264,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.1,150,15.0,0,0,0,4.0,25.0,0.0,100.0,5,0.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,2,34,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.2632,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0624,150,15.0,0,0,0,5.0,25.0,30.0,100.0,7,1.0,3,2,10,32,7,121,1,0,3,11,27,38,56,15,14,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.261,0.9,0.06,0.04,0.0,1.0,0.0,3.0,0.0,0.0,0.07,100,60.0,0,0,0,5.0,45.0,50.0,100.0,5,1.0,5,1,0,32,6,162,0,0,7,3,3,38,38,6,37,45,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749337523754624,0.5409090909090909
